~~~ Starting Training ~~~
Ep.: 24000, Score:   1.95, P_win: 0.36, Tran: 75.99, eps: 0.06, lr: 2.00e-04, pred: 1395.02 min
Ep.: 24500, Score:   1.69, P_win: 0.45, Tran: 68.68, eps: 0.06, lr: 2.00e-04, pred: 1394.60 min
Ep.: 25000, Score:   0.95, P_win: 0.33, Tran: 79.84, eps: 0.06, lr: 2.00e-04, pred: 1393.80 min
Ep.: 25500, Score:   2.45, P_win: 0.43, Tran: 75.41, eps: 0.06, lr: 2.00e-04, pred: 1393.46 min
Ep.: 26000, Score:   2.47, P_win: 0.44, Tran: 77.21, eps: 0.05, lr: 2.00e-04, pred: 1392.63 min
Ep.: 26500, Score:   1.85, P_win: 0.52, Tran: 72.31, eps: 0.05, lr: 2.00e-04, pred: 1391.10 min
Ep.: 27000, Score:   2.66, P_win: 0.50, Tran: 72.20, eps: 0.05, lr: 2.00e-04, pred: 1388.87 min
Ep.: 27500, Score:   2.75, P_win: 0.48, Tran: 75.50, eps: 0.05, lr: 2.00e-04, pred: 1386.95 min
Ep.: 28000, Score:   3.10, P_win: 0.50, Tran: 73.83, eps: 0.05, lr: 2.00e-04, pred: 1384.92 min
Ep.: 28500, Score:   2.51, P_win: 0.47, Tran: 73.67, eps: 0.05, lr: 2.00e-04, pred: 1382.95 min
Ep.: 29000, Score:   3.18, P_win: 0.50, Tran: 70.88, eps: 0.05, lr: 2.00e-04, pred: 1380.73 min
Ep.: 29500, Score:   3.55, P_win: 0.59, Tran: 66.38, eps: 0.05, lr: 2.00e-04, pred: 1378.13 min
Ep.: 30000, Score:   3.24, P_win: 0.59, Tran: 65.61, eps: 0.04, lr: 2.00e-04, pred: 1375.33 min
Ep.: 30500, Score:   3.51, P_win: 0.51, Tran: 72.50, eps: 0.04, lr: 2.00e-04, pred: 1372.82 min
Ep.: 31000, Score:   4.25, P_win: 0.51, Tran: 70.24, eps: 0.04, lr: 2.00e-04, pred: 1370.53 min
Ep.: 31500, Score:   4.44, P_win: 0.59, Tran: 69.11, eps: 0.04, lr: 2.00e-04, pred: 1368.26 min
Ep.: 32000, Score:   3.72, P_win: 0.64, Tran: 62.81, eps: 0.04, lr: 2.00e-04, pred: 1364.96 min
Ep.: 32500, Score:   3.82, P_win: 0.61, Tran: 65.04, eps: 0.04, lr: 2.00e-04, pred: 1362.37 min
Ep.: 33000, Score:   4.09, P_win: 0.69, Tran: 61.97, eps: 0.04, lr: 2.00e-04, pred: 1359.20 min
Ep.: 33500, Score:   4.05, P_win: 0.68, Tran: 62.12, eps: 0.04, lr: 2.00e-04, pred: 1355.68 min
Ep.: 34000, Score:   5.54, P_win: 0.67, Tran: 64.68, eps: 0.04, lr: 2.00e-04, pred: 1352.12 min
Ep.: 34500, Score:   4.85, P_win: 0.65, Tran: 63.24, eps: 0.04, lr: 2.00e-04, pred: 1348.71 min
Ep.: 35000, Score:   5.02, P_win: 0.66, Tran: 60.66, eps: 0.03, lr: 2.00e-04, pred: 1345.19 min
Ep.: 35500, Score:   5.15, P_win: 0.70, Tran: 60.81, eps: 0.03, lr: 2.00e-04, pred: 1341.96 min
Ep.: 36000, Score:   5.25, P_win: 0.69, Tran: 62.48, eps: 0.03, lr: 2.00e-04, pred: 1338.15 min
Ep.: 36500, Score:   5.53, P_win: 0.70, Tran: 57.92, eps: 0.03, lr: 2.00e-04, pred: 1334.05 min
Ep.: 37000, Score:   5.50, P_win: 0.71, Tran: 61.19, eps: 0.03, lr: 2.00e-04, pred: 1329.83 min
Ep.: 37500, Score:   5.76, P_win: 0.76, Tran: 59.01, eps: 0.03, lr: 2.00e-04, pred: 1326.00 min
Ep.: 38000, Score:   6.15, P_win: 0.68, Tran: 64.15, eps: 0.03, lr: 2.00e-04, pred: 1321.69 min
Ep.: 38500, Score:   6.22, P_win: 0.74, Tran: 56.77, eps: 0.03, lr: 2.00e-04, pred: 1317.56 min
Ep.: 39000, Score:   4.94, P_win: 0.64, Tran: 63.03, eps: 0.03, lr: 2.00e-04, pred: 1313.44 min
Ep.: 39500, Score:   5.32, P_win: 0.75, Tran: 56.74, eps: 0.03, lr: 2.00e-04, pred: 1309.04 min
Ep.: 40000, Score:   5.35, P_win: 0.75, Tran: 59.15, eps: 0.03, lr: 2.00e-04, pred: 1304.60 min
Ep.: 40500, Score:   5.88, P_win: 0.81, Tran: 58.14, eps: 0.03, lr: 2.00e-04, pred: 1299.89 min
Ep.: 41000, Score:   6.58, P_win: 0.75, Tran: 58.38, eps: 0.03, lr: 2.00e-04, pred: 1295.17 min
Ep.: 41500, Score:   6.09, P_win: 0.77, Tran: 58.76, eps: 0.03, lr: 2.00e-04, pred: 1290.83 min
Ep.: 42000, Score:   6.11, P_win: 0.76, Tran: 58.80, eps: 0.02, lr: 2.00e-04, pred: 1286.15 min
Ep.: 42500, Score:   6.35, P_win: 0.84, Tran: 54.73, eps: 0.02, lr: 2.00e-04, pred: 1282.26 min
Ep.: 43000, Score:   6.71, P_win: 0.85, Tran: 57.46, eps: 0.02, lr: 2.00e-04, pred: 1278.44 min
Ep.: 43500, Score:   6.39, P_win: 0.81, Tran: 56.72, eps: 0.02, lr: 2.00e-04, pred: 1274.28 min
Ep.: 44000, Score:   6.98, P_win: 0.82, Tran: 57.84, eps: 0.02, lr: 2.00e-04, pred: 1269.76 min
Ep.: 44500, Score:   7.28, P_win: 0.84, Tran: 55.71, eps: 0.02, lr: 2.00e-04, pred: 1265.40 min
Ep.: 45000, Score:   6.91, P_win: 0.81, Tran: 54.31, eps: 0.02, lr: 2.00e-04, pred: 1260.77 min
Ep.: 45500, Score:   6.79, P_win: 0.80, Tran: 58.54, eps: 0.02, lr: 2.00e-04, pred: 1256.39 min
Ep.: 46000, Score:   6.81, P_win: 0.80, Tran: 56.59, eps: 0.02, lr: 2.00e-04, pred: 1251.67 min
Ep.: 46500, Score:   7.13, P_win: 0.83, Tran: 54.05, eps: 0.02, lr: 2.00e-04, pred: 1246.94 min
Ep.: 47000, Score:   7.43, P_win: 0.79, Tran: 53.37, eps: 0.02, lr: 2.00e-04, pred: 1242.23 min
Ep.: 47500, Score:   7.32, P_win: 0.83, Tran: 51.52, eps: 0.02, lr: 2.00e-04, pred: 1237.62 min
Ep.: 48000, Score:   7.23, P_win: 0.90, Tran: 50.13, eps: 0.02, lr: 2.00e-04, pred: 1232.89 min
Ep.: 48500, Score:   6.94, P_win: 0.89, Tran: 50.95, eps: 0.02, lr: 2.00e-04, pred: 1228.02 min
Ep.: 49000, Score:   6.84, P_win: 0.88, Tran: 49.86, eps: 0.02, lr: 2.00e-04, pred: 1223.11 min
Ep.: 49500, Score:   7.56, P_win: 0.85, Tran: 53.08, eps: 0.02, lr: 2.00e-04, pred: 1218.29 min
Ep.: 50000, Score:   7.71, P_win: 0.82, Tran: 52.49, eps: 0.02, lr: 2.00e-04, pred: 1213.31 min
Ep.: 50500, Score:   6.58, P_win: 0.84, Tran: 50.15, eps: 0.02, lr: 2.00e-04, pred: 1208.27 min
Ep.: 51000, Score:   6.67, P_win: 0.90, Tran: 50.18, eps: 0.02, lr: 2.00e-04, pred: 1203.55 min
Ep.: 51500, Score:   7.42, P_win: 0.85, Tran: 48.73, eps: 0.02, lr: 2.00e-04, pred: 1198.46 min
Ep.: 52000, Score:   7.47, P_win: 0.84, Tran: 53.22, eps: 0.01, lr: 2.00e-04, pred: 1193.40 min
Ep.: 52500, Score:   6.75, P_win: 0.80, Tran: 53.28, eps: 0.01, lr: 2.00e-04, pred: 1188.22 min
Ep.: 53000, Score:   7.61, P_win: 0.81, Tran: 54.17, eps: 0.01, lr: 2.00e-04, pred: 1183.53 min
Ep.: 53500, Score:   7.11, P_win: 0.76, Tran: 53.66, eps: 0.01, lr: 2.00e-04, pred: 1178.51 min
Ep.: 54000, Score:   7.21, P_win: 0.88, Tran: 49.67, eps: 0.01, lr: 2.00e-04, pred: 1173.42 min
Ep.: 54500, Score:   7.19, P_win: 0.81, Tran: 54.51, eps: 0.01, lr: 2.00e-04, pred: 1168.25 min
Ep.: 55000, Score:   7.33, P_win: 0.81, Tran: 55.21, eps: 0.01, lr: 2.00e-04, pred: 1163.09 min
Ep.: 55500, Score:   7.44, P_win: 0.82, Tran: 50.38, eps: 0.01, lr: 2.00e-04, pred: 1157.89 min
Ep.: 56000, Score:   7.21, P_win: 0.83, Tran: 54.54, eps: 0.01, lr: 2.00e-04, pred: 1152.58 min
Ep.: 56500, Score:   7.47, P_win: 0.82, Tran: 54.77, eps: 0.01, lr: 2.00e-04, pred: 1147.34 min
Ep.: 57000, Score:   6.83, P_win: 0.86, Tran: 50.52, eps: 0.01, lr: 2.00e-04, pred: 1142.05 min
Ep.: 57500, Score:   6.93, P_win: 0.81, Tran: 54.75, eps: 0.01, lr: 2.00e-04, pred: 1136.76 min
Ep.: 58000, Score:   7.05, P_win: 0.87, Tran: 49.84, eps: 0.01, lr: 2.00e-04, pred: 1131.41 min
Ep.: 58500, Score:   6.88, P_win: 0.85, Tran: 47.73, eps: 0.01, lr: 2.00e-04, pred: 1125.84 min
Ep.: 59000, Score:   7.17, P_win: 0.79, Tran: 52.11, eps: 0.01, lr: 2.00e-04, pred: 1120.48 min
Ep.: 59500, Score:   7.53, P_win: 0.87, Tran: 51.82, eps: 0.01, lr: 2.00e-04, pred: 1115.08 min
Ep.: 60000, Score:   7.27, P_win: 0.81, Tran: 51.74, eps: 0.01, lr: 2.00e-04, pred: 1109.52 min
