~~~ Starting Training ~~~
Ep.: 24500, Score:   5.46, P_win: 0.75, Tran: 59.81, eps: 0.06, lr: 1.00e-04, pred: 41.85 min
Ep.: 25000, Score:   5.33, P_win: 0.70, Tran: 66.01, eps: 0.06, lr: 1.00e-04, pred: 38.03 min
Ep.: 25500, Score:   5.89, P_win: 0.84, Tran: 53.67, eps: 0.06, lr: 5.00e-05, pred: 34.21 min
Ep.: 26000, Score:   6.55, P_win: 0.86, Tran: 57.97, eps: 0.05, lr: 5.00e-05, pred: 30.39 min
Ep.: 26500, Score:   6.21, P_win: 0.80, Tran: 62.61, eps: 0.05, lr: 5.00e-05, pred: 26.58 min
Ep.: 27000, Score:   6.24, P_win: 0.75, Tran: 60.17, eps: 0.05, lr: 5.00e-05, pred: 22.77 min
Ep.: 27500, Score:   6.57, P_win: 0.82, Tran: 60.02, eps: 0.05, lr: 5.00e-05, pred: 18.97 min
Ep.: 28000, Score:   6.47, P_win: 0.83, Tran: 57.12, eps: 0.05, lr: 5.00e-05, pred: 15.16 min
Ep.: 28500, Score:   6.53, P_win: 0.86, Tran: 57.13, eps: 0.05, lr: 5.00e-05, pred: 11.36 min
Ep.: 29000, Score:   6.95, P_win: 0.84, Tran: 58.63, eps: 0.05, lr: 5.00e-05, pred:  7.57 min
Ep.: 29500, Score:   6.85, P_win: 0.80, Tran: 58.85, eps: 0.05, lr: 5.00e-05, pred:  3.78 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -12.24, P_win: 0.10, Tran: 89.94, eps: 0.20, lr: 2.00e-04, pred: 3612.83 min
Ep.:   500, Score:  -6.22, P_win: 0.16, Tran: 83.55, eps: 0.20, lr: 2.00e-04, pred: 214.89 min
Ep.:  1000, Score:  -4.12, P_win: 0.11, Tran: 85.92, eps: 0.19, lr: 2.00e-04, pred: 213.99 min
Ep.:  1500, Score:  -3.70, P_win: 0.12, Tran: 83.42, eps: 0.19, lr: 2.00e-04, pred: 214.22 min
Ep.:  2000, Score:  -3.05, P_win: 0.19, Tran: 81.44, eps: 0.18, lr: 2.00e-04, pred: 212.10 min
Ep.:  2500, Score:  -3.12, P_win: 0.27, Tran: 75.66, eps: 0.18, lr: 2.00e-04, pred: 208.84 min
Ep.:  3000, Score:  -2.01, P_win: 0.24, Tran: 75.79, eps: 0.17, lr: 2.00e-04, pred: 204.98 min
Ep.:  3500, Score:  -2.58, P_win: 0.18, Tran: 80.55, eps: 0.17, lr: 2.00e-04, pred: 201.72 min
Ep.:  4000, Score:  -1.49, P_win: 0.25, Tran: 79.06, eps: 0.16, lr: 2.00e-04, pred: 198.18 min
Ep.:  4500, Score:  -2.18, P_win: 0.20, Tran: 81.88, eps: 0.16, lr: 2.00e-04, pred: 194.93 min
Ep.:  5000, Score:  -1.89, P_win: 0.39, Tran: 72.43, eps: 0.16, lr: 2.00e-04, pred: 191.34 min
Ep.:  5500, Score:  -1.62, P_win: 0.27, Tran: 81.36, eps: 0.15, lr: 2.00e-04, pred: 187.50 min
Ep.:  6000, Score:  -2.26, P_win: 0.35, Tran: 81.81, eps: 0.15, lr: 2.00e-04, pred: 183.57 min
Ep.:  6500, Score:  -1.20, P_win: 0.37, Tran: 77.67, eps: 0.14, lr: 2.00e-04, pred: 179.54 min
Ep.:  7000, Score:  -1.32, P_win: 0.24, Tran: 79.65, eps: 0.14, lr: 2.00e-04, pred: 175.67 min
Ep.:  7500, Score:  -0.51, P_win: 0.32, Tran: 80.79, eps: 0.14, lr: 2.00e-04, pred: 171.74 min
Ep.:  8000, Score:  -0.92, P_win: 0.34, Tran: 80.80, eps: 0.13, lr: 2.00e-04, pred: 167.91 min
Ep.:  8500, Score:  -0.56, P_win: 0.32, Tran: 80.78, eps: 0.13, lr: 2.00e-04, pred: 164.13 min
Ep.:  9000, Score:  -0.87, P_win: 0.27, Tran: 80.35, eps: 0.13, lr: 2.00e-04, pred: 160.29 min
Ep.:  9500, Score:  -1.35, P_win: 0.30, Tran: 79.40, eps: 0.12, lr: 2.00e-04, pred: 156.52 min
Ep.: 10000, Score:  -0.53, P_win: 0.33, Tran: 77.16, eps: 0.12, lr: 2.00e-04, pred: 152.60 min
Ep.: 10500, Score:  -0.05, P_win: 0.34, Tran: 73.94, eps: 0.12, lr: 2.00e-04, pred: 148.74 min
Ep.: 11000, Score:  -0.04, P_win: 0.36, Tran: 78.14, eps: 0.12, lr: 2.00e-04, pred: 144.99 min
Ep.: 11500, Score:   0.19, P_win: 0.39, Tran: 73.20, eps: 0.11, lr: 2.00e-04, pred: 141.18 min
Ep.: 12000, Score:   0.55, P_win: 0.39, Tran: 77.65, eps: 0.11, lr: 2.00e-04, pred: 137.33 min
Ep.: 12500, Score:   0.24, P_win: 0.41, Tran: 75.38, eps: 0.11, lr: 2.00e-04, pred: 133.49 min
Ep.: 13000, Score:   0.44, P_win: 0.25, Tran: 78.18, eps: 0.10, lr: 2.00e-04, pred: 129.62 min
Ep.: 13500, Score:   0.75, P_win: 0.27, Tran: 78.48, eps: 0.10, lr: 2.00e-04, pred: 125.86 min
Ep.: 14000, Score:   0.59, P_win: 0.41, Tran: 71.67, eps: 0.10, lr: 2.00e-04, pred: 122.03 min
Ep.: 14500, Score:  -0.01, P_win: 0.46, Tran: 66.80, eps: 0.10, lr: 2.00e-04, pred: 118.17 min
Ep.: 15000, Score:   0.79, P_win: 0.32, Tran: 78.76, eps: 0.09, lr: 2.00e-04, pred: 114.37 min
Ep.: 15500, Score:   0.84, P_win: 0.39, Tran: 73.63, eps: 0.09, lr: 1.00e-04, pred: 110.47 min
Ep.: 16000, Score:   0.54, P_win: 0.42, Tran: 72.87, eps: 0.09, lr: 1.00e-04, pred: 106.60 min
Ep.: 16500, Score:   0.93, P_win: 0.43, Tran: 72.51, eps: 0.09, lr: 1.00e-04, pred: 102.76 min
Ep.: 17000, Score:   1.23, P_win: 0.45, Tran: 73.42, eps: 0.09, lr: 1.00e-04, pred: 98.90 min
Ep.: 17500, Score:   1.15, P_win: 0.40, Tran: 73.94, eps: 0.08, lr: 1.00e-04, pred: 95.07 min
Ep.: 18000, Score:   1.57, P_win: 0.40, Tran: 74.46, eps: 0.08, lr: 1.00e-04, pred: 91.27 min
Ep.: 18500, Score:   0.63, P_win: 0.42, Tran: 74.14, eps: 0.08, lr: 1.00e-04, pred: 87.47 min
Ep.: 19000, Score:   1.09, P_win: 0.48, Tran: 70.62, eps: 0.08, lr: 1.00e-04, pred: 83.64 min
Ep.: 19500, Score:   1.74, P_win: 0.41, Tran: 75.42, eps: 0.08, lr: 1.00e-04, pred: 79.81 min
Ep.: 20000, Score:   2.06, P_win: 0.45, Tran: 70.58, eps: 0.07, lr: 1.00e-04, pred: 76.03 min
Ep.: 20500, Score:   2.21, P_win: 0.51, Tran: 70.34, eps: 0.07, lr: 1.00e-04, pred: 72.20 min
Ep.: 21000, Score:   2.45, P_win: 0.39, Tran: 77.10, eps: 0.07, lr: 1.00e-04, pred: 68.40 min
Ep.: 21500, Score:   1.71, P_win: 0.37, Tran: 76.42, eps: 0.07, lr: 1.00e-04, pred: 64.59 min
Ep.: 22000, Score:   2.02, P_win: 0.40, Tran: 75.85, eps: 0.07, lr: 1.00e-04, pred: 60.78 min
Ep.: 22500, Score:   1.55, P_win: 0.49, Tran: 67.71, eps: 0.06, lr: 1.00e-04, pred: 56.97 min
Ep.: 23000, Score:   1.42, P_win: 0.45, Tran: 71.24, eps: 0.06, lr: 1.00e-04, pred: 53.16 min
Ep.: 23500, Score:   2.22, P_win: 0.49, Tran: 70.49, eps: 0.06, lr: 1.00e-04, pred: 49.36 min
Ep.: 24000, Score:   2.51, P_win: 0.36, Tran: 76.34, eps: 0.06, lr: 1.00e-04, pred: 45.55 min
Ep.: 24500, Score:   1.41, P_win: 0.52, Tran: 68.12, eps: 0.06, lr: 1.00e-04, pred: 41.75 min
Ep.: 25000, Score:   2.34, P_win: 0.38, Tran: 74.76, eps: 0.06, lr: 1.00e-04, pred: 37.94 min
Ep.: 25500, Score:   1.92, P_win: 0.57, Tran: 67.34, eps: 0.06, lr: 5.00e-05, pred: 34.13 min
Ep.: 26000, Score:   2.23, P_win: 0.56, Tran: 64.54, eps: 0.05, lr: 5.00e-05, pred: 30.33 min
Ep.: 26500, Score:   1.94, P_win: 0.52, Tran: 67.62, eps: 0.05, lr: 5.00e-05, pred: 26.53 min
Ep.: 27000, Score:   2.98, P_win: 0.42, Tran: 69.92, eps: 0.05, lr: 5.00e-05, pred: 22.74 min
Ep.: 27500, Score:   2.14, P_win: 0.48, Tran: 67.91, eps: 0.05, lr: 5.00e-05, pred: 18.94 min
Ep.: 28000, Score:   1.77, P_win: 0.44, Tran: 70.28, eps: 0.05, lr: 5.00e-05, pred: 15.15 min
Ep.: 28500, Score:   1.89, P_win: 0.46, Tran: 68.88, eps: 0.05, lr: 5.00e-05, pred: 11.36 min
Ep.: 29000, Score:   2.22, P_win: 0.47, Tran: 70.00, eps: 0.05, lr: 5.00e-05, pred:  7.57 min
Ep.: 29500, Score:   2.63, P_win: 0.42, Tran: 71.82, eps: 0.05, lr: 5.00e-05, pred:  3.78 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -15.14, P_win: 0.02, Tran: 91.01, eps: 0.20, lr: 2.00e-04, pred: 3873.97 min
