~~~ Starting Training ~~~
Ep.: 24500, Score:   2.01, P_win: 0.52, Tran: 70.08, eps: 0.06, lr: 1.00e-04, pred: 41.62 min
Ep.: 25000, Score:   2.04, P_win: 0.49, Tran: 72.78, eps: 0.06, lr: 1.00e-04, pred: 37.84 min
Ep.: 25500, Score:   2.33, P_win: 0.46, Tran: 74.07, eps: 0.06, lr: 5.00e-05, pred: 34.05 min
Ep.: 26000, Score:   2.29, P_win: 0.40, Tran: 75.72, eps: 0.05, lr: 5.00e-05, pred: 30.26 min
Ep.: 26500, Score:   1.99, P_win: 0.43, Tran: 70.75, eps: 0.05, lr: 5.00e-05, pred: 26.47 min
Ep.: 27000, Score:   2.73, P_win: 0.47, Tran: 74.87, eps: 0.05, lr: 5.00e-05, pred: 22.68 min
Ep.: 27500, Score:   1.98, P_win: 0.44, Tran: 74.20, eps: 0.05, lr: 5.00e-05, pred: 18.90 min
Ep.: 28000, Score:   2.01, P_win: 0.46, Tran: 75.84, eps: 0.05, lr: 5.00e-05, pred: 15.12 min
Ep.: 28500, Score:   2.43, P_win: 0.43, Tran: 73.79, eps: 0.05, lr: 5.00e-05, pred: 11.34 min
Ep.: 29000, Score:   2.26, P_win: 0.43, Tran: 73.18, eps: 0.05, lr: 5.00e-05, pred:  7.55 min
Ep.: 29500, Score:   2.76, P_win: 0.50, Tran: 69.42, eps: 0.05, lr: 5.00e-05, pred:  3.77 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -12.32, P_win: 0.14, Tran: 82.64, eps: 0.20, lr: 2.00e-04, pred: 3832.87 min
Ep.:   500, Score:  -5.42, P_win: 0.15, Tran: 81.63, eps: 0.20, lr: 2.00e-04, pred: 246.19 min
Ep.:  1000, Score:  -5.07, P_win: 0.22, Tran: 82.70, eps: 0.19, lr: 2.00e-04, pred: 245.13 min
Ep.:  1500, Score:  -3.88, P_win: 0.18, Tran: 81.09, eps: 0.19, lr: 2.00e-04, pred: 244.07 min
Ep.:  2000, Score:  -3.01, P_win: 0.18, Tran: 80.73, eps: 0.18, lr: 2.00e-04, pred: 241.22 min
Ep.:  2500, Score:  -2.67, P_win: 0.17, Tran: 86.33, eps: 0.18, lr: 2.00e-04, pred: 238.64 min
Ep.:  3000, Score:  -3.16, P_win: 0.09, Tran: 83.93, eps: 0.17, lr: 2.00e-04, pred: 235.34 min
Ep.:  3500, Score:  -2.83, P_win: 0.10, Tran: 80.61, eps: 0.17, lr: 2.00e-04, pred: 231.54 min
Ep.:  4000, Score:  -2.55, P_win: 0.19, Tran: 81.07, eps: 0.16, lr: 2.00e-04, pred: 227.61 min
Ep.:  4500, Score:  -1.89, P_win: 0.23, Tran: 87.99, eps: 0.16, lr: 2.00e-04, pred: 223.77 min
Ep.:  5000, Score:  -1.05, P_win: 0.26, Tran: 81.58, eps: 0.16, lr: 2.00e-04, pred: 219.72 min
Ep.:  5500, Score:  -1.75, P_win: 0.36, Tran: 74.90, eps: 0.15, lr: 2.00e-04, pred: 215.51 min
Ep.:  6000, Score:  -0.55, P_win: 0.21, Tran: 77.61, eps: 0.15, lr: 2.00e-04, pred: 211.17 min
Ep.:  6500, Score:  -0.23, P_win: 0.39, Tran: 72.72, eps: 0.14, lr: 2.00e-04, pred: 206.86 min
Ep.:  7000, Score:  -1.71, P_win: 0.35, Tran: 79.40, eps: 0.14, lr: 2.00e-04, pred: 202.63 min
Ep.:  7500, Score:  -0.81, P_win: 0.31, Tran: 83.62, eps: 0.14, lr: 2.00e-04, pred: 198.35 min
Ep.:  8000, Score:  -0.64, P_win: 0.36, Tran: 72.47, eps: 0.13, lr: 2.00e-04, pred: 193.93 min
Ep.:  8500, Score:  -0.36, P_win: 0.29, Tran: 78.81, eps: 0.13, lr: 2.00e-04, pred: 189.68 min
Ep.:  9000, Score:  -0.16, P_win: 0.43, Tran: 75.90, eps: 0.13, lr: 2.00e-04, pred: 185.24 min
Ep.:  9500, Score:   0.13, P_win: 0.43, Tran: 76.54, eps: 0.12, lr: 2.00e-04, pred: 180.80 min
Ep.: 10000, Score:   0.63, P_win: 0.42, Tran: 73.52, eps: 0.12, lr: 2.00e-04, pred: 176.46 min
Ep.: 10500, Score:   1.36, P_win: 0.42, Tran: 74.00, eps: 0.12, lr: 2.00e-04, pred: 172.10 min
Ep.: 11000, Score:   0.84, P_win: 0.51, Tran: 76.47, eps: 0.12, lr: 2.00e-04, pred: 167.80 min
Ep.: 11500, Score:  -0.04, P_win: 0.52, Tran: 65.78, eps: 0.11, lr: 2.00e-04, pred: 163.33 min
Ep.: 12000, Score:   0.56, P_win: 0.50, Tran: 72.88, eps: 0.11, lr: 2.00e-04, pred: 158.99 min
Ep.: 12500, Score:   1.66, P_win: 0.54, Tran: 71.95, eps: 0.11, lr: 2.00e-04, pred: 154.57 min
Ep.: 13000, Score:   2.10, P_win: 0.50, Tran: 68.20, eps: 0.10, lr: 2.00e-04, pred: 150.08 min
Ep.: 13500, Score:   2.27, P_win: 0.44, Tran: 70.25, eps: 0.10, lr: 2.00e-04, pred: 145.67 min
Ep.: 14000, Score:   1.92, P_win: 0.60, Tran: 72.44, eps: 0.10, lr: 2.00e-04, pred: 141.29 min
Ep.: 14500, Score:   2.35, P_win: 0.59, Tran: 69.51, eps: 0.10, lr: 2.00e-04, pred: 136.89 min
Ep.: 15000, Score:   3.07, P_win: 0.60, Tran: 67.69, eps: 0.09, lr: 2.00e-04, pred: 132.50 min
Ep.: 15500, Score:   3.59, P_win: 0.55, Tran: 62.74, eps: 0.09, lr: 1.00e-04, pred: 127.95 min
Ep.: 16000, Score:   2.05, P_win: 0.53, Tran: 66.99, eps: 0.09, lr: 1.00e-04, pred: 123.43 min
Ep.: 16500, Score:   4.07, P_win: 0.71, Tran: 66.08, eps: 0.09, lr: 1.00e-04, pred: 118.92 min
Ep.: 17000, Score:   4.36, P_win: 0.73, Tran: 63.97, eps: 0.09, lr: 1.00e-04, pred: 114.48 min
Ep.: 17500, Score:   4.86, P_win: 0.72, Tran: 63.52, eps: 0.08, lr: 1.00e-04, pred: 109.95 min
Ep.: 18000, Score:   4.46, P_win: 0.70, Tran: 63.72, eps: 0.08, lr: 1.00e-04, pred: 105.51 min
Ep.: 18500, Score:   5.07, P_win: 0.66, Tran: 62.43, eps: 0.08, lr: 1.00e-04, pred: 101.09 min
Ep.: 19000, Score:   5.89, P_win: 0.78, Tran: 55.13, eps: 0.08, lr: 1.00e-04, pred: 96.62 min
Ep.: 19500, Score:   6.06, P_win: 0.79, Tran: 61.68, eps: 0.08, lr: 1.00e-04, pred: 92.17 min
Ep.: 20000, Score:   6.03, P_win: 0.85, Tran: 58.84, eps: 0.07, lr: 1.00e-04, pred: 87.71 min
Ep.: 20500, Score:   6.40, P_win: 0.71, Tran: 64.38, eps: 0.07, lr: 1.00e-04, pred: 83.29 min
Ep.: 21000, Score:   5.74, P_win: 0.80, Tran: 57.65, eps: 0.07, lr: 1.00e-04, pred: 78.86 min
Ep.: 21500, Score:   5.52, P_win: 0.84, Tran: 54.97, eps: 0.07, lr: 1.00e-04, pred: 74.42 min
Ep.: 22000, Score:   5.75, P_win: 0.72, Tran: 60.93, eps: 0.07, lr: 1.00e-04, pred: 70.01 min
Ep.: 22500, Score:   6.21, P_win: 0.86, Tran: 58.47, eps: 0.06, lr: 1.00e-04, pred: 65.58 min
Ep.: 23000, Score:   5.74, P_win: 0.72, Tran: 57.35, eps: 0.06, lr: 1.00e-04, pred: 61.18 min
Ep.: 23500, Score:   6.39, P_win: 0.83, Tran: 55.39, eps: 0.06, lr: 1.00e-04, pred: 56.76 min
Ep.: 24000, Score:   5.96, P_win: 0.78, Tran: 55.73, eps: 0.06, lr: 1.00e-04, pred: 52.36 min
Ep.: 24500, Score:   6.16, P_win: 0.85, Tran: 52.20, eps: 0.06, lr: 1.00e-04, pred: 47.97 min
Ep.: 25000, Score:   6.43, P_win: 0.90, Tran: 53.59, eps: 0.06, lr: 1.00e-04, pred: 43.59 min
Ep.: 25500, Score:   6.93, P_win: 0.79, Tran: 57.97, eps: 0.06, lr: 5.00e-05, pred: 39.20 min
Ep.: 26000, Score:   6.84, P_win: 0.83, Tran: 55.06, eps: 0.05, lr: 5.00e-05, pred: 34.81 min
Ep.: 26500, Score:   7.16, P_win: 0.89, Tran: 53.72, eps: 0.05, lr: 5.00e-05, pred: 30.44 min
Ep.: 27000, Score:   6.89, P_win: 0.88, Tran: 52.75, eps: 0.05, lr: 5.00e-05, pred: 26.07 min
Ep.: 27500, Score:   7.30, P_win: 0.86, Tran: 54.70, eps: 0.05, lr: 5.00e-05, pred: 21.70 min
Ep.: 28000, Score:   6.58, P_win: 0.84, Tran: 55.46, eps: 0.05, lr: 5.00e-05, pred: 17.35 min
Ep.: 28500, Score:   6.65, P_win: 0.85, Tran: 56.19, eps: 0.05, lr: 5.00e-05, pred: 13.00 min
Ep.: 29000, Score:   7.03, P_win: 0.93, Tran: 50.09, eps: 0.05, lr: 5.00e-05, pred:  8.66 min
Ep.: 29500, Score:   7.82, P_win: 0.93, Tran: 50.16, eps: 0.05, lr: 5.00e-05, pred:  4.32 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -14.35, P_win: 0.06, Tran: 85.58, eps: 0.20, lr: 2.00e-04, pred: 4404.69 min
Ep.:   500, Score:  -5.79, P_win: 0.10, Tran: 80.84, eps: 0.20, lr: 2.00e-04, pred: 287.57 min
Ep.:  1000, Score:  -3.02, P_win: 0.20, Tran: 76.70, eps: 0.19, lr: 2.00e-04, pred: 285.50 min
Ep.:  1500, Score:  -2.32, P_win: 0.19, Tran: 79.97, eps: 0.19, lr: 2.00e-04, pred: 284.49 min
Ep.:  2000, Score:  -3.22, P_win: 0.11, Tran: 87.54, eps: 0.18, lr: 2.00e-04, pred: 281.86 min
Ep.:  2500, Score:  -3.55, P_win: 0.30, Tran: 73.99, eps: 0.18, lr: 2.00e-04, pred: 277.88 min
Ep.:  3000, Score:  -3.24, P_win: 0.12, Tran: 86.91, eps: 0.17, lr: 2.00e-04, pred: 274.28 min
Ep.:  3500, Score:  -2.38, P_win: 0.25, Tran: 77.75, eps: 0.17, lr: 2.00e-04, pred: 269.52 min
Ep.:  4000, Score:  -1.62, P_win: 0.18, Tran: 82.10, eps: 0.16, lr: 2.00e-04, pred: 264.60 min
Ep.:  4500, Score:  -2.16, P_win: 0.30, Tran: 79.52, eps: 0.16, lr: 2.00e-04, pred: 260.07 min
Ep.:  5000, Score:  -1.36, P_win: 0.27, Tran: 74.70, eps: 0.16, lr: 2.00e-04, pred: 255.28 min
Ep.:  5500, Score:  -0.21, P_win: 0.31, Tran: 85.25, eps: 0.15, lr: 2.00e-04, pred: 250.57 min
Ep.:  6000, Score:  -0.60, P_win: 0.33, Tran: 76.78, eps: 0.15, lr: 2.00e-04, pred: 245.62 min
Ep.:  6500, Score:  -0.29, P_win: 0.41, Tran: 74.43, eps: 0.14, lr: 2.00e-04, pred: 240.59 min
Ep.:  7000, Score:   0.90, P_win: 0.42, Tran: 74.69, eps: 0.14, lr: 2.00e-04, pred: 235.57 min
Ep.:  7500, Score:   0.99, P_win: 0.39, Tran: 73.98, eps: 0.14, lr: 2.00e-04, pred: 230.43 min
Ep.:  8000, Score:   1.61, P_win: 0.32, Tran: 75.09, eps: 0.13, lr: 2.00e-04, pred: 225.42 min
Ep.:  8500, Score:   0.78, P_win: 0.51, Tran: 66.97, eps: 0.13, lr: 2.00e-04, pred: 220.47 min
Ep.:  9000, Score:   1.71, P_win: 0.53, Tran: 70.53, eps: 0.13, lr: 2.00e-04, pred: 215.31 min
Ep.:  9500, Score:   1.61, P_win: 0.58, Tran: 68.69, eps: 0.12, lr: 2.00e-04, pred: 210.16 min
Ep.: 10000, Score:   1.43, P_win: 0.35, Tran: 75.27, eps: 0.12, lr: 2.00e-04, pred: 205.06 min
Ep.: 10500, Score:   2.39, P_win: 0.39, Tran: 77.77, eps: 0.12, lr: 2.00e-04, pred: 199.99 min
Ep.: 11000, Score:   2.83, P_win: 0.49, Tran: 75.09, eps: 0.12, lr: 2.00e-04, pred: 194.95 min
Ep.: 11500, Score:   1.97, P_win: 0.65, Tran: 66.95, eps: 0.11, lr: 2.00e-04, pred: 189.95 min
Ep.: 12000, Score:   2.84, P_win: 0.56, Tran: 70.96, eps: 0.11, lr: 2.00e-04, pred: 184.84 min
Ep.: 12500, Score:   3.08, P_win: 0.61, Tran: 65.59, eps: 0.11, lr: 2.00e-04, pred: 179.78 min
Ep.: 13000, Score:   2.46, P_win: 0.56, Tran: 69.60, eps: 0.10, lr: 2.00e-04, pred: 174.72 min
Ep.: 13500, Score:   3.36, P_win: 0.52, Tran: 70.21, eps: 0.10, lr: 2.00e-04, pred: 169.59 min
Ep.: 14000, Score:   4.21, P_win: 0.59, Tran: 69.98, eps: 0.10, lr: 2.00e-04, pred: 164.47 min
Ep.: 14500, Score:   3.67, P_win: 0.69, Tran: 60.49, eps: 0.10, lr: 2.00e-04, pred: 159.33 min
Ep.: 15000, Score:   3.29, P_win: 0.48, Tran: 73.69, eps: 0.09, lr: 2.00e-04, pred: 154.21 min
Ep.: 15500, Score:   4.34, P_win: 0.72, Tran: 62.79, eps: 0.09, lr: 1.00e-04, pred: 148.89 min
Ep.: 16000, Score:   4.56, P_win: 0.63, Tran: 63.79, eps: 0.09, lr: 1.00e-04, pred: 143.61 min
Ep.: 16500, Score:   4.44, P_win: 0.79, Tran: 59.10, eps: 0.09, lr: 1.00e-04, pred: 138.30 min
Ep.: 17000, Score:   4.76, P_win: 0.70, Tran: 63.42, eps: 0.09, lr: 1.00e-04, pred: 133.06 min
Ep.: 17500, Score:   4.02, P_win: 0.63, Tran: 65.50, eps: 0.08, lr: 1.00e-04, pred: 127.78 min
Ep.: 18000, Score:   4.59, P_win: 0.70, Tran: 60.61, eps: 0.08, lr: 1.00e-04, pred: 122.57 min
Ep.: 18500, Score:   4.87, P_win: 0.68, Tran: 66.36, eps: 0.08, lr: 1.00e-04, pred: 117.38 min
Ep.: 19000, Score:   5.15, P_win: 0.79, Tran: 59.51, eps: 0.08, lr: 1.00e-04, pred: 112.16 min
Ep.: 19500, Score:   5.59, P_win: 0.77, Tran: 59.35, eps: 0.08, lr: 1.00e-04, pred: 106.95 min
Ep.: 20000, Score:   4.82, P_win: 0.77, Tran: 58.82, eps: 0.07, lr: 1.00e-04, pred: 101.77 min
Ep.: 20500, Score:   4.83, P_win: 0.68, Tran: 63.51, eps: 0.07, lr: 1.00e-04, pred: 96.61 min
