~~~ Starting Training ~~~
Ep.: 24500, Score:   0.56, P_win: 0.45, Tran: 69.92, eps: 0.06, lr: 1.00e-04, pred: 87.98 min
Ep.: 25000, Score:   0.57, P_win: 0.39, Tran: 74.08, eps: 0.06, lr: 1.00e-04, pred: 79.81 min
Ep.: 25500, Score:   1.30, P_win: 0.32, Tran: 73.28, eps: 0.06, lr: 5.00e-05, pred: 71.66 min
Ep.: 26000, Score:   0.94, P_win: 0.36, Tran: 76.97, eps: 0.05, lr: 5.00e-05, pred: 63.55 min
Ep.: 26500, Score:   1.55, P_win: 0.33, Tran: 80.50, eps: 0.05, lr: 5.00e-05, pred: 55.49 min
Ep.: 27000, Score:   1.07, P_win: 0.41, Tran: 71.10, eps: 0.05, lr: 5.00e-05, pred: 47.46 min
Ep.: 27500, Score:   1.44, P_win: 0.45, Tran: 70.62, eps: 0.05, lr: 5.00e-05, pred: 39.46 min
Ep.: 28000, Score:   1.57, P_win: 0.28, Tran: 78.29, eps: 0.05, lr: 5.00e-05, pred: 31.50 min
Ep.: 28500, Score:   1.51, P_win: 0.37, Tran: 74.74, eps: 0.05, lr: 5.00e-05, pred: 23.58 min
Ep.: 29000, Score:   1.35, P_win: 0.45, Tran: 72.49, eps: 0.05, lr: 5.00e-05, pred: 15.69 min
Ep.: 29500, Score:   1.42, P_win: 0.42, Tran: 71.67, eps: 0.05, lr: 5.00e-05, pred:  7.82 min
~~~ Training Complete ~~~
~~~ Starting Training ~~~
Ep.:     0, Score: -10.88, P_win: 0.07, Tran: 92.26, eps: 0.20, lr: 2.00e-04, pred: 7363.79 min
Ep.:   500, Score:  -6.25, P_win: 0.22, Tran: 81.06, eps: 0.20, lr: 2.00e-04, pred: 422.99 min
Ep.:  1000, Score:  -4.57, P_win: 0.11, Tran: 82.26, eps: 0.19, lr: 2.00e-04, pred: 416.24 min
Ep.:  1500, Score:  -2.86, P_win: 0.10, Tran: 88.11, eps: 0.19, lr: 2.00e-04, pred: 410.86 min
Ep.:  2000, Score:  -3.51, P_win: 0.14, Tran: 81.80, eps: 0.18, lr: 2.00e-04, pred: 404.95 min
Ep.:  2500, Score:  -3.75, P_win: 0.24, Tran: 80.42, eps: 0.18, lr: 2.00e-04, pred: 398.78 min
Ep.:  3000, Score:  -2.94, P_win: 0.16, Tran: 83.88, eps: 0.17, lr: 2.00e-04, pred: 392.10 min
Ep.:  3500, Score:  -3.20, P_win: 0.22, Tran: 79.85, eps: 0.17, lr: 2.00e-04, pred: 385.06 min
Ep.:  4000, Score:  -2.95, P_win: 0.17, Tran: 78.83, eps: 0.16, lr: 2.00e-04, pred: 378.36 min
Ep.:  4500, Score:  -2.73, P_win: 0.17, Tran: 76.96, eps: 0.16, lr: 2.00e-04, pred: 371.58 min
Ep.:  5000, Score:  -2.71, P_win: 0.15, Tran: 77.04, eps: 0.16, lr: 2.00e-04, pred: 364.88 min
Ep.:  5500, Score:  -1.68, P_win: 0.19, Tran: 80.62, eps: 0.15, lr: 2.00e-04, pred: 358.49 min
Ep.:  6000, Score:  -3.01, P_win: 0.15, Tran: 87.75, eps: 0.15, lr: 2.00e-04, pred: 352.14 min
Ep.:  6500, Score:  -3.08, P_win: 0.14, Tran: 82.63, eps: 0.14, lr: 2.00e-04, pred: 346.26 min
Ep.:  7000, Score:  -2.96, P_win: 0.17, Tran: 80.24, eps: 0.14, lr: 2.00e-04, pred: 341.11 min
