~~~ Starting Training ~~~
Ep.:     0, Score: -11.56, P_win: 0.03, Tran: 90.07, eps: 0.20, lr: 2.00e-04, pred: 16741.27 min
Ep.:   500, Score:  -5.89, P_win: 0.16, Tran: 78.09, eps: 0.20, lr: 2.00e-04, pred: 708.32 min
Ep.:  1000, Score:  -4.45, P_win: 0.19, Tran: 75.66, eps: 0.19, lr: 2.00e-04, pred: 668.73 min
Ep.:  1500, Score:  -4.81, P_win: 0.12, Tran: 74.91, eps: 0.19, lr: 2.00e-04, pred: 656.50 min
Ep.:  2000, Score:  -3.95, P_win: 0.15, Tran: 79.90, eps: 0.18, lr: 2.00e-04, pred: 640.12 min
Ep.:  2500, Score:  -3.86, P_win: 0.14, Tran: 82.53, eps: 0.18, lr: 2.00e-04, pred: 629.04 min
Ep.:  3000, Score:  -3.31, P_win: 0.12, Tran: 82.49, eps: 0.17, lr: 2.00e-04, pred: 622.63 min
Ep.:  3500, Score:  -3.03, P_win: 0.12, Tran: 87.43, eps: 0.17, lr: 2.00e-04, pred: 617.41 min
Ep.:  4000, Score:  -4.41, P_win: 0.15, Tran: 87.44, eps: 0.16, lr: 2.00e-04, pred: 614.97 min
Ep.:  4500, Score:  -4.69, P_win: 0.13, Tran: 89.36, eps: 0.16, lr: 2.00e-04, pred: 612.40 min
Ep.:  5000, Score:  -3.72, P_win: 0.22, Tran: 75.73, eps: 0.16, lr: 2.00e-04, pred: 608.96 min
Ep.:  5500, Score:  -3.50, P_win: 0.13, Tran: 88.13, eps: 0.15, lr: 2.00e-04, pred: 605.17 min
Ep.:  6000, Score:  -2.57, P_win: 0.17, Tran: 79.38, eps: 0.15, lr: 2.00e-04, pred: 600.79 min
Ep.:  6500, Score:  -2.84, P_win: 0.21, Tran: 77.83, eps: 0.14, lr: 2.00e-04, pred: 598.80 min
Ep.:  7000, Score:  -2.16, P_win: 0.19, Tran: 85.57, eps: 0.14, lr: 2.00e-04, pred: 597.95 min
Ep.:  7500, Score:  -1.44, P_win: 0.21, Tran: 83.01, eps: 0.14, lr: 2.00e-04, pred: 598.22 min
Ep.:  8000, Score:  -1.85, P_win: 0.28, Tran: 81.11, eps: 0.13, lr: 2.00e-04, pred: 596.61 min
Ep.:  8500, Score:  -2.37, P_win: 0.24, Tran: 78.44, eps: 0.13, lr: 2.00e-04, pred: 595.29 min
Ep.:  9000, Score:  -1.73, P_win: 0.24, Tran: 84.65, eps: 0.13, lr: 2.00e-04, pred: 594.49 min
Ep.:  9500, Score:  -2.10, P_win: 0.28, Tran: 83.29, eps: 0.12, lr: 2.00e-04, pred: 593.16 min
Ep.: 10000, Score:  -1.39, P_win: 0.24, Tran: 81.76, eps: 0.12, lr: 2.00e-04, pred: 592.08 min
Ep.: 10500, Score:  -1.77, P_win: 0.25, Tran: 84.53, eps: 0.12, lr: 2.00e-04, pred: 590.67 min
Ep.: 11000, Score:  -0.54, P_win: 0.23, Tran: 84.84, eps: 0.12, lr: 2.00e-04, pred: 589.67 min
Ep.: 11500, Score:  -1.05, P_win: 0.31, Tran: 78.65, eps: 0.11, lr: 2.00e-04, pred: 587.80 min
Ep.: 12000, Score:  -0.50, P_win: 0.28, Tran: 79.92, eps: 0.11, lr: 2.00e-04, pred: 585.83 min
Ep.: 12500, Score:  -0.16, P_win: 0.40, Tran: 78.11, eps: 0.11, lr: 2.00e-04, pred: 583.84 min
Ep.: 13000, Score:   0.42, P_win: 0.37, Tran: 75.65, eps: 0.10, lr: 2.00e-04, pred: 581.77 min
Ep.: 13500, Score:   0.55, P_win: 0.33, Tran: 82.13, eps: 0.10, lr: 2.00e-04, pred: 579.96 min
Ep.: 14000, Score:  -0.21, P_win: 0.46, Tran: 72.54, eps: 0.10, lr: 2.00e-04, pred: 577.21 min
Ep.: 14500, Score:   0.03, P_win: 0.33, Tran: 79.77, eps: 0.10, lr: 2.00e-04, pred: 575.22 min
Ep.: 15000, Score:   0.56, P_win: 0.36, Tran: 79.68, eps: 0.09, lr: 2.00e-04, pred: 572.47 min
Ep.: 15500, Score:   1.14, P_win: 0.55, Tran: 71.59, eps: 0.09, lr: 2.00e-04, pred: 570.47 min
Ep.: 16000, Score:   0.91, P_win: 0.42, Tran: 75.93, eps: 0.09, lr: 2.00e-04, pred: 568.25 min
Ep.: 16500, Score:   0.99, P_win: 0.47, Tran: 72.00, eps: 0.09, lr: 2.00e-04, pred: 565.64 min
Ep.: 17000, Score:   2.35, P_win: 0.52, Tran: 67.79, eps: 0.09, lr: 2.00e-04, pred: 562.67 min
