~~~ Starting Training ~~~
Ep.: 24500, Score:   5.59, P_win: 0.68, Tran: 60.04, eps: 0.06, lr: 2.00e-04, pred: 517.92 min
Ep.: 25000, Score:   5.49, P_win: 0.74, Tran: 59.04, eps: 0.06, lr: 2.00e-04, pred: 514.69 min
Ep.: 25500, Score:   4.74, P_win: 0.69, Tran: 62.47, eps: 0.06, lr: 2.00e-04, pred: 511.55 min
Ep.: 26000, Score:   4.76, P_win: 0.68, Tran: 59.62, eps: 0.05, lr: 2.00e-04, pred: 508.24 min
Ep.: 26500, Score:   5.54, P_win: 0.67, Tran: 62.97, eps: 0.05, lr: 2.00e-04, pred: 504.83 min
Ep.: 27000, Score:   4.89, P_win: 0.66, Tran: 65.03, eps: 0.05, lr: 2.00e-04, pred: 501.34 min
Ep.: 27500, Score:   5.04, P_win: 0.68, Tran: 62.83, eps: 0.05, lr: 2.00e-04, pred: 497.76 min
Ep.: 28000, Score:   4.81, P_win: 0.66, Tran: 62.73, eps: 0.05, lr: 2.00e-04, pred: 494.01 min
Ep.: 28500, Score:   5.36, P_win: 0.68, Tran: 62.32, eps: 0.05, lr: 2.00e-04, pred: 490.53 min
Ep.: 29000, Score:   5.21, P_win: 0.72, Tran: 55.08, eps: 0.05, lr: 2.00e-04, pred: 487.03 min
Ep.: 29500, Score:   5.17, P_win: 0.66, Tran: 59.52, eps: 0.05, lr: 2.00e-04, pred: 483.62 min
Ep.: 30000, Score:   5.37, P_win: 0.78, Tran: 56.39, eps: 0.04, lr: 2.00e-04, pred: 480.29 min
Ep.: 30500, Score:   5.38, P_win: 0.65, Tran: 62.62, eps: 0.04, lr: 2.00e-04, pred: 476.73 min
Ep.: 31000, Score:   5.05, P_win: 0.74, Tran: 60.58, eps: 0.04, lr: 2.00e-04, pred: 473.50 min
Ep.: 31500, Score:   5.48, P_win: 0.67, Tran: 60.49, eps: 0.04, lr: 2.00e-04, pred: 469.94 min
Ep.: 32000, Score:   5.39, P_win: 0.69, Tran: 60.01, eps: 0.04, lr: 2.00e-04, pred: 466.47 min
Ep.: 32500, Score:   5.21, P_win: 0.74, Tran: 59.25, eps: 0.04, lr: 2.00e-04, pred: 463.19 min
Ep.: 33000, Score:   5.48, P_win: 0.74, Tran: 56.56, eps: 0.04, lr: 2.00e-04, pred: 460.01 min
Ep.: 33500, Score:   5.28, P_win: 0.72, Tran: 58.92, eps: 0.04, lr: 2.00e-04, pred: 456.68 min
Ep.: 34000, Score:   5.93, P_win: 0.75, Tran: 55.62, eps: 0.04, lr: 2.00e-04, pred: 453.23 min
Ep.: 34500, Score:   5.49, P_win: 0.66, Tran: 58.91, eps: 0.04, lr: 2.00e-04, pred: 449.87 min
Ep.: 35000, Score:   5.15, P_win: 0.70, Tran: 60.52, eps: 0.03, lr: 2.00e-04, pred: 446.57 min
Ep.: 35500, Score:   5.78, P_win: 0.76, Tran: 53.92, eps: 0.03, lr: 2.00e-04, pred: 443.23 min
Ep.: 36000, Score:   5.93, P_win: 0.65, Tran: 62.80, eps: 0.03, lr: 2.00e-04, pred: 439.99 min
Ep.: 36500, Score:   5.35, P_win: 0.72, Tran: 60.77, eps: 0.03, lr: 2.00e-04, pred: 436.62 min
Ep.: 37000, Score:   5.44, P_win: 0.72, Tran: 59.05, eps: 0.03, lr: 2.00e-04, pred: 433.21 min
Ep.: 37500, Score:   5.55, P_win: 0.83, Tran: 54.38, eps: 0.03, lr: 2.00e-04, pred: 429.80 min
Ep.: 38000, Score:   5.44, P_win: 0.79, Tran: 54.74, eps: 0.03, lr: 2.00e-04, pred: 426.29 min
Ep.: 38500, Score:   5.81, P_win: 0.67, Tran: 60.50, eps: 0.03, lr: 2.00e-04, pred: 423.10 min
Ep.: 39000, Score:   6.16, P_win: 0.69, Tran: 60.23, eps: 0.03, lr: 2.00e-04, pred: 419.81 min
Ep.: 39500, Score:   5.54, P_win: 0.75, Tran: 55.18, eps: 0.03, lr: 2.00e-04, pred: 416.50 min
Ep.: 40000, Score:   6.17, P_win: 0.77, Tran: 53.02, eps: 0.03, lr: 2.00e-04, pred: 413.20 min
Ep.: 40500, Score:   5.73, P_win: 0.74, Tran: 55.84, eps: 0.03, lr: 2.00e-04, pred: 409.87 min
Ep.: 41000, Score:   5.38, P_win: 0.72, Tran: 59.65, eps: 0.03, lr: 2.00e-04, pred: 406.57 min
