~~~ Starting Training ~~~
Ep.: 24500, Score:   9.38, P_win: 1.00, Tran: 49.41, eps: 0.06, lr: 1.00e-04, pred: 33.85 min
Ep.: 25000, Score:   8.53, P_win: 0.99, Tran: 48.63, eps: 0.06, lr: 1.00e-04, pred: 30.71 min
Ep.: 25500, Score:   9.22, P_win: 0.94, Tran: 51.35, eps: 0.06, lr: 5.00e-05, pred: 27.57 min
Ep.: 26000, Score:   8.83, P_win: 0.98, Tran: 47.92, eps: 0.05, lr: 5.00e-05, pred: 24.44 min
Ep.: 26500, Score:   9.21, P_win: 0.98, Tran: 48.22, eps: 0.05, lr: 5.00e-05, pred: 21.34 min
Ep.: 27000, Score:   9.32, P_win: 1.00, Tran: 48.61, eps: 0.05, lr: 5.00e-05, pred: 18.24 min
Ep.: 27500, Score:   9.55, P_win: 1.00, Tran: 48.05, eps: 0.05, lr: 5.00e-05, pred: 15.17 min
Ep.: 28000, Score:   9.40, P_win: 0.98, Tran: 48.46, eps: 0.05, lr: 5.00e-05, pred: 12.11 min
Ep.: 28500, Score:   9.34, P_win: 0.99, Tran: 49.16, eps: 0.05, lr: 5.00e-05, pred:  9.06 min
Ep.: 29000, Score:   9.47, P_win: 0.99, Tran: 49.32, eps: 0.05, lr: 5.00e-05, pred:  6.03 min
Ep.: 29500, Score:   9.45, P_win: 1.00, Tran: 47.46, eps: 0.05, lr: 5.00e-05, pred:  3.01 min
~~~ Training Complete ~~~
DONE!
