~~~ Starting Training ~~~
Ep.: 24500, Score:   7.85, P_win: 0.88, Tran: 52.68, eps: 0.06, lr: 1.00e-04, pred: 32.14 min
Ep.: 25000, Score:   7.70, P_win: 0.89, Tran: 52.64, eps: 0.06, lr: 1.00e-04, pred: 29.18 min
Ep.: 25500, Score:   7.68, P_win: 0.87, Tran: 52.07, eps: 0.06, lr: 5.00e-05, pred: 26.22 min
Ep.: 26000, Score:   7.97, P_win: 0.95, Tran: 47.62, eps: 0.05, lr: 5.00e-05, pred: 23.26 min
Ep.: 26500, Score:   7.99, P_win: 0.84, Tran: 53.45, eps: 0.05, lr: 5.00e-05, pred: 20.31 min
Ep.: 27000, Score:   8.57, P_win: 0.91, Tran: 50.84, eps: 0.05, lr: 5.00e-05, pred: 17.38 min
Ep.: 27500, Score:   7.84, P_win: 0.92, Tran: 50.12, eps: 0.05, lr: 5.00e-05, pred: 14.46 min
Ep.: 28000, Score:   8.13, P_win: 0.92, Tran: 49.42, eps: 0.05, lr: 5.00e-05, pred: 11.55 min
Ep.: 28500, Score:   8.42, P_win: 0.91, Tran: 50.17, eps: 0.05, lr: 5.00e-05, pred:  8.65 min
Ep.: 29000, Score:   8.56, P_win: 0.92, Tran: 47.71, eps: 0.05, lr: 5.00e-05, pred:  5.75 min
Ep.: 29500, Score:   8.27, P_win: 0.90, Tran: 48.36, eps: 0.05, lr: 5.00e-05, pred:  2.87 min
~~~ Training Complete ~~~
DONE!
