~~~ Starting Training ~~~
Ep.: 24500, Score:   5.30, P_win: 0.76, Tran: 60.96, eps: 0.06, lr: 1.00e-04, pred: 61.37 min
Ep.: 25000, Score:   6.11, P_win: 0.76, Tran: 59.43, eps: 0.06, lr: 1.00e-04, pred: 55.56 min
Ep.: 25500, Score:   5.75, P_win: 0.71, Tran: 62.37, eps: 0.06, lr: 5.00e-05, pred: 49.79 min
Ep.: 26000, Score:   5.64, P_win: 0.79, Tran: 55.54, eps: 0.05, lr: 5.00e-05, pred: 44.07 min
Ep.: 26500, Score:   6.12, P_win: 0.78, Tran: 57.24, eps: 0.05, lr: 5.00e-05, pred: 38.40 min
Ep.: 27000, Score:   5.61, P_win: 0.83, Tran: 58.22, eps: 0.05, lr: 5.00e-05, pred: 32.77 min
Ep.: 27500, Score:   5.85, P_win: 0.73, Tran: 58.75, eps: 0.05, lr: 5.00e-05, pred: 27.20 min
Ep.: 28000, Score:   6.20, P_win: 0.80, Tran: 58.58, eps: 0.05, lr: 5.00e-05, pred: 21.68 min
Ep.: 28500, Score:   5.79, P_win: 0.70, Tran: 60.16, eps: 0.05, lr: 5.00e-05, pred: 16.20 min
Ep.: 29000, Score:   6.33, P_win: 0.79, Tran: 57.99, eps: 0.05, lr: 5.00e-05, pred: 10.76 min
Ep.: 29500, Score:   6.34, P_win: 0.85, Tran: 53.41, eps: 0.05, lr: 5.00e-05, pred:  5.35 min
~~~ Training Complete ~~~
DONE!
