~~~ Starting Training ~~~
Ep.: 24500, Score:  -0.67, P_win: 0.22, Tran: 87.53, eps: 0.06, lr: 1.00e-04, pred: 182.06 min
Ep.: 25000, Score:  -1.11, P_win: 0.29, Tran: 79.16, eps: 0.06, lr: 1.00e-04, pred: 178.18 min
Ep.: 25500, Score:  -1.73, P_win: 0.22, Tran: 81.44, eps: 0.06, lr: 5.00e-05, pred: 174.17 min
Ep.: 26000, Score:  -0.76, P_win: 0.22, Tran: 85.65, eps: 0.05, lr: 5.00e-05, pred: 170.11 min
Ep.: 26500, Score:  -1.84, P_win: 0.22, Tran: 87.38, eps: 0.05, lr: 5.00e-05, pred: 166.14 min
Ep.: 27000, Score:  -1.49, P_win: 0.21, Tran: 88.32, eps: 0.05, lr: 5.00e-05, pred: 162.18 min
Ep.: 27500, Score:  -0.76, P_win: 0.30, Tran: 83.02, eps: 0.05, lr: 5.00e-05, pred: 158.13 min
Ep.: 28000, Score:  -0.32, P_win: 0.18, Tran: 90.67, eps: 0.05, lr: 5.00e-05, pred: 154.15 min
Ep.: 28500, Score:  -1.25, P_win: 0.18, Tran: 90.73, eps: 0.05, lr: 5.00e-05, pred: 150.14 min
Ep.: 29000, Score:  -0.82, P_win: 0.15, Tran: 92.47, eps: 0.05, lr: 5.00e-05, pred: 146.14 min
Ep.: 29500, Score:  -0.26, P_win: 0.20, Tran: 89.88, eps: 0.05, lr: 5.00e-05, pred: 142.05 min
Ep.: 30000, Score:  -0.57, P_win: 0.13, Tran: 92.25, eps: 0.04, lr: 5.00e-05, pred: 137.91 min
Ep.: 30500, Score:  -1.09, P_win: 0.14, Tran: 93.35, eps: 0.04, lr: 5.00e-05, pred: 133.71 min
Ep.: 31000, Score:  -0.93, P_win: 0.11, Tran: 94.17, eps: 0.04, lr: 5.00e-05, pred: 129.55 min
Ep.: 31500, Score:  -1.29, P_win: 0.17, Tran: 90.64, eps: 0.04, lr: 5.00e-05, pred: 125.26 min
