~~~ Starting Training ~~~
Ep.:     0, Score:  -3.95, P_win: 0.03, Tran: 91.51, eps: 0.30, lr: 2.00e-04, pred: 16250.86 min
Ep.:   500, Score:  -6.54, P_win: 0.18, Tran: 77.35, eps: 0.30, lr: 2.00e-04, pred: 541.41 min
Ep.:  1000, Score:  -3.96, P_win: 0.19, Tran: 79.66, eps: 0.29, lr: 2.00e-04, pred: 518.85 min
Ep.:  1500, Score:  -3.77, P_win: 0.20, Tran: 76.15, eps: 0.29, lr: 2.00e-04, pred: 509.72 min
Ep.:  2000, Score:  -3.21, P_win: 0.12, Tran: 81.53, eps: 0.28, lr: 2.00e-04, pred: 503.81 min
Ep.:  2500, Score:  -3.28, P_win: 0.15, Tran: 83.06, eps: 0.28, lr: 2.00e-04, pred: 496.50 min
Ep.:  3000, Score:  -4.33, P_win: 0.18, Tran: 78.73, eps: 0.27, lr: 2.00e-04, pred: 488.09 min
Ep.:  3500, Score:  -3.41, P_win: 0.22, Tran: 77.00, eps: 0.27, lr: 2.00e-04, pred: 480.66 min
Ep.:  4000, Score:  -2.65, P_win: 0.26, Tran: 72.99, eps: 0.27, lr: 2.00e-04, pred: 474.74 min
Ep.:  4500, Score:  -3.22, P_win: 0.14, Tran: 81.14, eps: 0.26, lr: 2.00e-04, pred: 471.03 min
Ep.:  5000, Score:  -2.41, P_win: 0.18, Tran: 86.80, eps: 0.26, lr: 2.00e-04, pred: 466.79 min
Ep.:  5500, Score:  -2.12, P_win: 0.21, Tran: 81.22, eps: 0.25, lr: 2.00e-04, pred: 462.34 min
Ep.:  6000, Score:  -2.57, P_win: 0.22, Tran: 79.47, eps: 0.25, lr: 2.00e-04, pred: 458.77 min
Ep.:  6500, Score:  -1.84, P_win: 0.23, Tran: 84.54, eps: 0.25, lr: 2.00e-04, pred: 456.46 min
Ep.:  7000, Score:  -2.14, P_win: 0.28, Tran: 83.08, eps: 0.24, lr: 2.00e-04, pred: 454.74 min
Ep.:  7500, Score:  -2.82, P_win: 0.23, Tran: 73.62, eps: 0.24, lr: 2.00e-04, pred: 453.22 min
Ep.:  8000, Score:  -1.44, P_win: 0.35, Tran: 77.25, eps: 0.24, lr: 2.00e-04, pred: 451.04 min
Ep.:  8500, Score:  -1.56, P_win: 0.30, Tran: 83.51, eps: 0.23, lr: 2.00e-04, pred: 449.14 min
Ep.:  9000, Score:  -0.67, P_win: 0.32, Tran: 77.70, eps: 0.23, lr: 2.00e-04, pred: 446.56 min
Ep.:  9500, Score:  -1.41, P_win: 0.26, Tran: 78.16, eps: 0.23, lr: 2.00e-04, pred: 444.19 min
Ep.: 10000, Score:  -0.20, P_win: 0.30, Tran: 74.36, eps: 0.22, lr: 2.00e-04, pred: 442.09 min
Ep.: 10500, Score:  -1.14, P_win: 0.19, Tran: 89.40, eps: 0.22, lr: 2.00e-04, pred: 439.99 min
Ep.: 11000, Score:  -2.83, P_win: 0.21, Tran: 88.26, eps: 0.22, lr: 2.00e-04, pred: 438.44 min
Ep.: 11500, Score:  -1.09, P_win: 0.31, Tran: 75.32, eps: 0.21, lr: 2.00e-04, pred: 436.33 min
Ep.: 12000, Score:  -0.36, P_win: 0.37, Tran: 69.35, eps: 0.21, lr: 2.00e-04, pred: 433.87 min
Ep.: 12500, Score:  -1.35, P_win: 0.26, Tran: 78.74, eps: 0.21, lr: 2.00e-04, pred: 431.84 min
Ep.: 13000, Score:  -2.35, P_win: 0.28, Tran: 85.23, eps: 0.20, lr: 2.00e-04, pred: 429.88 min
Ep.: 13500, Score:  -1.63, P_win: 0.35, Tran: 74.52, eps: 0.20, lr: 2.00e-04, pred: 427.95 min
Ep.: 14000, Score:  -0.92, P_win: 0.26, Tran: 79.44, eps: 0.20, lr: 2.00e-04, pred: 425.88 min
Ep.: 14500, Score:   0.30, P_win: 0.35, Tran: 73.02, eps: 0.19, lr: 2.00e-04, pred: 423.38 min
Ep.: 15000, Score:   0.22, P_win: 0.37, Tran: 75.97, eps: 0.19, lr: 2.00e-04, pred: 421.29 min
Ep.: 15500, Score:   0.65, P_win: 0.43, Tran: 72.35, eps: 0.19, lr: 2.00e-04, pred: 418.62 min
Ep.: 16000, Score:  -0.17, P_win: 0.35, Tran: 73.81, eps: 0.19, lr: 2.00e-04, pred: 416.20 min
Ep.: 16500, Score:   0.48, P_win: 0.32, Tran: 76.23, eps: 0.18, lr: 2.00e-04, pred: 413.88 min
Ep.: 17000, Score:  -0.16, P_win: 0.36, Tran: 79.10, eps: 0.18, lr: 2.00e-04, pred: 411.39 min
Ep.: 17500, Score:  -0.06, P_win: 0.46, Tran: 75.18, eps: 0.18, lr: 2.00e-04, pred: 409.05 min
Ep.: 18000, Score:   1.02, P_win: 0.44, Tran: 72.15, eps: 0.17, lr: 2.00e-04, pred: 406.60 min
Ep.: 18500, Score:   0.52, P_win: 0.29, Tran: 73.19, eps: 0.17, lr: 2.00e-04, pred: 404.07 min
Ep.: 19000, Score:  -1.06, P_win: 0.36, Tran: 76.14, eps: 0.17, lr: 2.00e-04, pred: 401.56 min
Ep.: 19500, Score:  -0.57, P_win: 0.43, Tran: 83.87, eps: 0.17, lr: 2.00e-04, pred: 399.17 min
Ep.: 20000, Score:   0.32, P_win: 0.43, Tran: 73.77, eps: 0.16, lr: 2.00e-04, pred: 396.75 min
Ep.: 20500, Score:   0.36, P_win: 0.21, Tran: 83.72, eps: 0.16, lr: 2.00e-04, pred: 393.83 min
