~~~ Starting Training ~~~
Ep.: 24000, Score:   3.06, P_win: 0.64, Tran: 62.77, eps: 0.06, lr: 2.00e-04, pred: 1515.23 min
Ep.: 24500, Score:   3.93, P_win: 0.61, Tran: 64.02, eps: 0.06, lr: 2.00e-04, pred: 1503.28 min
Ep.: 25000, Score:   3.23, P_win: 0.64, Tran: 66.00, eps: 0.06, lr: 2.00e-04, pred: 1491.37 min
Ep.: 25500, Score:   3.62, P_win: 0.73, Tran: 61.72, eps: 0.06, lr: 2.00e-04, pred: 1479.61 min
Ep.: 26000, Score:   3.64, P_win: 0.53, Tran: 67.83, eps: 0.05, lr: 2.00e-04, pred: 1468.06 min
Ep.: 26500, Score:   3.35, P_win: 0.60, Tran: 64.52, eps: 0.05, lr: 2.00e-04, pred: 1455.87 min
Ep.: 27000, Score:   3.76, P_win: 0.61, Tran: 64.02, eps: 0.05, lr: 2.00e-04, pred: 1444.05 min
Ep.: 27500, Score:   3.91, P_win: 0.63, Tran: 64.85, eps: 0.05, lr: 2.00e-04, pred: 1432.28 min
Ep.: 28000, Score:   3.87, P_win: 0.56, Tran: 66.97, eps: 0.05, lr: 2.00e-04, pred: 1420.66 min
Ep.: 28500, Score:   3.46, P_win: 0.53, Tran: 69.50, eps: 0.05, lr: 2.00e-04, pred: 1409.29 min
Ep.: 29000, Score:   4.20, P_win: 0.62, Tran: 64.89, eps: 0.05, lr: 2.00e-04, pred: 1397.40 min
Ep.: 29500, Score:   3.91, P_win: 0.68, Tran: 60.83, eps: 0.05, lr: 2.00e-04, pred: 1385.85 min
Ep.: 30000, Score:   3.97, P_win: 0.64, Tran: 67.04, eps: 0.04, lr: 2.00e-04, pred: 1374.55 min
Ep.: 30500, Score:   3.51, P_win: 0.65, Tran: 62.56, eps: 0.04, lr: 2.00e-04, pred: 1363.37 min
Ep.: 31000, Score:   3.67, P_win: 0.64, Tran: 66.91, eps: 0.04, lr: 2.00e-04, pred: 1352.17 min
Ep.: 31500, Score:   4.15, P_win: 0.58, Tran: 66.86, eps: 0.04, lr: 2.00e-04, pred: 1341.05 min
Ep.: 32000, Score:   3.90, P_win: 0.61, Tran: 67.96, eps: 0.04, lr: 2.00e-04, pred: 1329.84 min
Ep.: 32500, Score:   4.30, P_win: 0.74, Tran: 55.61, eps: 0.04, lr: 2.00e-04, pred: 1318.60 min
Ep.: 33000, Score:   4.06, P_win: 0.59, Tran: 63.92, eps: 0.04, lr: 2.00e-04, pred: 1307.45 min
Ep.: 33500, Score:   4.57, P_win: 0.59, Tran: 66.61, eps: 0.04, lr: 2.00e-04, pred: 1296.31 min
Ep.: 34000, Score:   4.37, P_win: 0.71, Tran: 59.55, eps: 0.04, lr: 2.00e-04, pred: 1285.06 min
Ep.: 34500, Score:   4.12, P_win: 0.71, Tran: 64.59, eps: 0.04, lr: 2.00e-04, pred: 1274.07 min
Ep.: 35000, Score:   4.57, P_win: 0.66, Tran: 60.23, eps: 0.03, lr: 2.00e-04, pred: 1262.66 min
